Incident;PERIL;SUBURB;ITEM_TYPE;VEHICLE_MAKE;VEHICLE_MODEL;VEHICLE_YEAR;INCIDENT_DATE_TIME;CLAIM_AMOUNT;ITEM_CATEGORY;ITEM_PERIL_DESCR;FLAG_INCOMPLETE_VEHICLE_DETAILS;FLAG_NEGATIVE_CLAIM;FLAG_ZERO_CLAIM
INC-011;Theft;HARTEBEESPOORT;Vehicle;FORD;RANGER 2.0D BI-TURBO WILDTRAK 4X4 A/T P/U D/C-2019-;2022;2026-06-22 13:44:00;17941,61;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-012;Attempted Theft;WATERKLOOF GLEN;Contents;;;;2026-06-22 13:31:46;3574;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-013;Theft;UNKNOWN;Vehicle;HYUNDAI;ATOS 1.1 MOTION-2019-;2020;2026-06-21 18:00:00;2500;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-014;Theft;WESTCLIFF;Vehicle;MITSUBISHI;PAJERO SPORT 2.4D 4X4 A/T-2017-2020;2018;2026-06-20 23:00:00;9077,9;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-015;Theft;RADIOKOP;Contents;;;;2026-06-20 18:45:00;49359,92;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-016;Theft;GREEN POINT;Vehicle;HYUNDAI;VENUE 1.0 TGDI FLUID DCT-2022-;2024;2026-06-20 18:30:00;21505,67;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-017;Theft;HIGH RIDING COUNTRY ESTATE;Contents;;;;2026-06-20 17:10:00;32500;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-018;Theft;BENMORE GARDENS;Contents;;;;2026-06-20 14:00:04;27999;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-019;Theft;PROTEA PARK;Contents;;;;2026-06-20 13:00:00;11910;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-020;Theft;SUNDOWNER;Vehicle;SUBARU;FORESTER 2.5 XT-2004-2005;2005;2026-06-20 8:20:00;90000;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-021;Theft;HALFWAY GARDENS;Vehicle;MERCEDES-BENZ;C180-2014-2018;2014;2026-06-19 17:15:00;197929,06;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-022;Theft;PORT ELIZABETH;Vehicle;SUZUKI;SWIFT 1.2 GL-2024-;2026;2026-06-19 12:48:01;1692,98;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-023;Theft;UPINGTON;Contents;;;;2026-06-17 14:20:00;38753;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-024;Hijack;UNKNOWN;Vehicle;BMW;X3 xDRIVE 20d M-SPORT (G01)-2021-;2023;2026-06-17 9:15:00;12747,67;Motor Vehicle - Theft;Hijack;FALSE;FALSE;FALSE
INC-025;Theft;CAPE TOWN CITY CENTRE;Vehicle;FIAT;500X 1.4T CROSS-2015-2022;2015;2026-06-17 3:16:00;4312,5;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-026;Theft;KUILS RIVER;Vehicle;HYUNDAI;VENUE 1.0 TGDI MOTION-2019-2023;2022;2026-06-16 18:30:00;16418,85;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-027;Burglary;WINGATE PARK;Contents;;;;2026-06-16 3:29:00;35063;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-028;Theft;PRETORIA NORTH;Vehicle;FORD;RANGER 2.2TDCi XLS 4X4 A/T P/U D/C-2016-2020;2020;2026-06-14 17:00:00;12381,02;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-029;Theft;MELVILLE;Vehicle;VOLKSWAGEN;POLO 1.0 TSI R-LINE DSG-2022-;2024;2026-06-14 16:30:00;522860;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-030;Theft;MORNINGSIDE;Vehicle;FORD;EVEREST 2.0D XLT SPORT 4X4 A/T-2021-2023;2023;2026-06-14 10:30:00;14200,04;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-031;Theft;RIVERGATE;Vehicle;VOLKSWAGEN;POLO VIVO 1.6 TRENDLINE 5Dr-2010-2014;2013;2026-06-14 0:40:00;135000;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-032;Theft;VERULAM;Vehicle;HYUNDAI;TUCSON 1.6TGDI ELITE DCT-2018-2023;2021;2026-06-14 0:00:00;1750;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-033;Hijack;UNKNOWN;Vehicle;DATSUN;GO 1.2 LUX-2018-2023;2018;2026-06-13 22:00:00;123420,44;Motor Vehicle - Theft;Hijack;FALSE;FALSE;FALSE
INC-034;Theft;DESPATCH;Vehicle;TOYOTA;HILUX 2.8 GD-6 RB LEGEND A/T P/U D/C-2020-;2021;2026-06-13 19:30:00;11589,01;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-035;Theft;CAMBRIDGE;Vehicle;TOYOTA;HILUX 1800 (Col Shf) P/U S/C-1987-1998;1994;2026-06-13 18:00:00;1572,28;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-036;Theft;PORT ELIZABETH;Vehicle;TOYOTA;HILUX 2.8 GD-6 RB 21 LEGEND RS 4X4 P/U D/C-2021-2023;2023;2026-06-13 4:00:00;18437,07;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-037;Theft;STELLENBOSCH;Contents;;;;2026-06-12 8:15:00;3660;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-038;Theft;LONE HILL;Contents;;;;2026-06-12 8:00:00;9895;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-039;Theft;FERNDALE;Vehicle;HYUNDAI;ATOS 1.1 MOTION-2019-;2022;2026-06-11 20:24:00;1572,28;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-040;Theft;FAIRVIEW;Contents;;;;2026-06-11 5:00:00;1300;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-041;Theft;PRETORIA CENTRAL;Vehicle;TOYOTA;COROLLA CROSS 1.8 XS-2021-;2023;2026-06-10 20:26:00;343054,06;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-042;Theft;SCHOEMANSVILLE;Vehicle;VOLKSWAGEN;AMAROK 2.0 BiTDi HIGHLINE 132KW 4MOT A/T D/C P/U-2017-;2024;2026-06-10 15:00:00;54694,08;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-043;Theft;BRYANSTON;Contents;;;;2026-06-10 12:45:00;28396,9;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-044;Theft;BLUE HILLS;Contents;;;;2026-06-10 1:00:00;27588;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-045;Theft;BLUE HILLS;Vehicle;LEXUS;NX 2.0T EX/300 EX-2015-2020;2015;2026-06-10 1:00:00;7868,04;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-046;Theft;WALMER;Contents;;;;2026-06-09 14:26:00;31066,48;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-047;Theft;SWARTKLIP;Vehicle;FORD;RANGER 3.2TDCi WILDTRAK A/T P/U D/C-2015-2020;2018;2026-06-09 8:30:00;4977,57;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-048;Hijack;MARLBORO;Vehicle;HAVAL;H7 2.0T SUPER LUXURY 4X4 DCT-2024-;2026;2026-06-09 7:16:00;33195,18;Motor Vehicle - Theft;Hijack;FALSE;FALSE;FALSE
INC-049;Hijack;MARLBORO;Vehicle;HAVAL;H7 2.0T SUPER LUXURY 4X4 DCT-2024-;2025;2026-06-09 7:10:00;3008,8;Motor Vehicle - Theft;Hijack;FALSE;FALSE;FALSE
INC-050;Theft;MNANDI AH;Contents;;;;2026-06-09 2:30:00;37019;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-051;Theft;OLIVEDALE;Contents;;;;2026-06-08 1:00:00;5360;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-052;Theft;ROODEPOORT;Contents;;;;2026-06-07 13:34:00;30249;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-053;Theft;CRAIGHALL PARK;Vehicle;SUZUKI;JIMNY 1.5 GLX-2018-;2022;2026-06-07 12:40:00;309827;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-054;Theft;KEMPTON PARK;Contents;;;;2026-06-07 9:30:29;6498;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-055;Theft;BRYANSTON;Contents;;;;2026-06-06 22:00:00;15397;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-056;Theft;TAMBOERSKLOOF;Contents;;;;2026-06-06 20:00:00;8645,9;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-057;Theft;GREENSIDE EAST;Vehicle;VOLKSWAGEN;POLO 1.0 TSI HIGHLINE DSG (85KW)-2017-2023;2020;2026-06-06 14:30:00;44417,66;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-058;Theft;TURFFONTEIN;Vehicle;TOYOTA;FORTUNER 3.0D-4D R/B A/T-2009-2011;2010;2026-06-06 12:46:00;254872,28;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-059;Theft;WATERKLOOF;Contents;;;;2026-06-06 8:47:00;130048;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-060;Theft;UNKNOWN;Vehicle;VOLKSWAGEN;POLO 1.0 TSI LIFE DSG-2022-;2024;2026-06-05 20:32:00;427694,59;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-061;Theft;THREE RIVERS;Contents;;;;2026-06-04 5:50:00;29919;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-062;Theft;THEESCOMBE AH;Contents;;;;2026-06-04 3:48:00;23104,87;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-063;Theft;STELLENBOSCH CENTRAL;Contents;;;;2026-06-04 0:45:40;12465;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-064;Theft;RYNSOORD;Contents;;;;2026-06-04 0:00:00;36046;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-065;Theft;NORTHMEAD;Vehicle;TOYOTA;FORTUNER 3.0D-4D HERITAGE R/B-2011-2013;2013;2026-06-03 19:20:00;268500;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-066;Theft;PARKLANDS;Contents;;;;2026-06-03 15:55:00;5799;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-067;Theft;SUNNINGHILL;Vehicle;FORD;RANGER 3.0 V6 BI TURBO ECOBOOST RAPTOR 4X4 A/T-2023-;2025;2026-06-03 13:00:54;33878,74;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-068;Theft;BEDFORDVIEW;Vehicle;TOYOTA;FORTUNER 3.0D-4D R/B-2011-2017;2012;2026-06-03 5:25:00;266872,28;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-069;Theft;PORT ELIZABETH;Contents;;;;2026-06-03 4:20:00;17603;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-070;Theft;GREENSIDE;Contents;;;;2026-06-03 4:00:00;18588;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-071;Theft;HIGHRIDGE;Contents;;;;2026-06-03 1:00:00;28816;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-072;Theft;BENONI;Vehicle;TOYOTA;COROLLA 1.4D ESTEEM-2014-2017;2016;2026-06-02 21:00:00;1572,28;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-073;Theft;FOURWAYS;Vehicle;PEUGEOT;3008 1.6T ALLURE A/T-2021-;2024;2026-06-02 18:30:00;4312,5;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-074;Theft;STRATHAVON;Contents;;;;2026-06-02 15:53:00;115269,81;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-075;Theft;STRATHAVON;Vehicle;TOYOTA;URBAN CRUISER 1.5 XR A/T-2023-;2025;2026-06-02 15:53:00;27760,51;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-076;Theft;LA LUCIA;Vehicle;MERCEDES-BENZ;AMG G63-2018-;2022;2026-06-02 9:36:32;18124,4;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-077;Theft;FRAMESBY;Vehicle;SUZUKI;BALENO 1.5 GLX A/T-2022-;2022;2026-06-02 2:23:00;4450;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-078;Theft;FRAMESBY;Contents;;;;2026-06-02 2:23:00;12978;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-079;Theft;PROTEA GLEN;Contents;;;;2026-05-31 19:54:00;8689,33;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-080;Theft;MOUNT CROIX;Vehicle;HONDA;CR-V 1.5T EXCLUSIVE AWD CVT-2017-;2017;2026-05-31 16:00:00;22457,71;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-081;Theft;UMHLATUZANA;Vehicle;TOYOTA;COROLLA CROSS 1.8 XS HYBRID-2021-;2024;2026-05-31 15:39:00;442195,47;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-082;Theft;RANDHART;Vehicle;FORD;RANGER 2.2TDCi XLS P/U D/C-2011-2016;2012;2026-05-31 13:10:00;159280;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-083;Theft;ASHLEY;Contents;;;;2026-05-31 8:30:00;2473,28;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-084;Theft;ASHLEY;Vehicle;TOYOTA;FORTUNER 3.0D-4D R/B-2011-2017;2013;2026-05-31 8:30:00;278500;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-085;Theft;STELLENBOSCH;Vehicle;HONDA;BALLADE 150 LUXLINE-1992-1996;1992;2026-05-30 18:06:00;79431,99;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-086;Theft;RONDEBOSCH;Vehicle;TOYOTA;FORTUNER 3.0D-4D R/B A/T-2011-2017;2015;2026-05-30 18:00:00;318387,69;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-087;Theft;SEA POINT;Vehicle;RENAULT;KWID 1.0 DYNAMIQUE / ZEN / TECHNO 5DR-2019-;2020;2026-05-30 15:45:00;9438,44;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-088;Theft;SCHOEMANSVILLE;Vehicle;TOYOTA;LANDCRUISER 300 V6 3.5T GR-S-2021-;2024;2026-05-30 8:45:00;1963030;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-089;Theft;KLIPSPRUIT;Vehicle;TOYOTA;FORTUNER 2.8GD-6 4X4 A/T-2016-2020;2020;2026-05-30 7:40:00;612000;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-090;Theft;NASREC;Contents;;;;2026-05-29 23:00:00;11999;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-091;Theft;KRAAIFONTEIN AH;Vehicle;VOLKSWAGEN;MOVE UP! 1.0 5DR-2016-2021;2017;2026-05-29 22:00:58;17858,3;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-092;Theft;HEIDERAND;Contents;;;;2026-05-29 19:00:26;45171;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-093;Armed Robbery;PARKMORE;Contents;;;;2026-05-29 19:00:00;4927,2;Home contents - Theft;Armed Robbery;FALSE;FALSE;FALSE
INC-094;Theft;FAERIE GLEN;Vehicle;TOYOTA;COROLLA CROSS 1.8 GR-S-2022-;2024;2026-05-29 12:30:00;424365,08;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-095;Theft;REDFERN;Vehicle;VOLKSWAGEN;POLO VIVO 1.6 COMFORTLINE TIP (5DR)-2017-;2023;2026-05-29 8:30:00;230500;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-096;Theft;BELA-BELA;Contents;;;;2026-05-29 2:16:21;25266;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-097;Theft;CAPE TOWN;Vehicle;HYUNDAI;VENUE 1.2 MOTION-2021-2023;2022;2026-05-28 19:00:00;25630,96;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-098;Hijack;VOSLOORUS;Contents;;;;2026-05-28 18:44:00;41500,52;Home contents - Theft;Hijack;FALSE;FALSE;FALSE
INC-099;Theft;ROODEPOORT;Contents;;;;2026-05-27 20:51:57;21195;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-100;Theft;TYGER VALLEY;Vehicle;VOLKSWAGEN;CADDY4 CREWBUS 1.6i-2015-2020;2020;2026-05-27 20:00:00;14854,94;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-101;Theft;GREENSIDE;Vehicle;NISSAN;NAVARA 2.5DDTI PRO-4X 4X4 A/T D/C P/U-2021-;2023;2026-05-27 17:30:00;670142,28;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-102;Theft;GLENVISTA;Vehicle;LEXUS;NX 350T F-SPORT-2022-;2023;2026-05-27 10:30:00;20000;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-103;Theft;PRETORIA NORTH;Vehicle;TOYOTA;ETIOS 1.5 Xs/SPRINT 5Dr-2012-2022;2013;2026-05-27 9:21:00;101805,83;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-104;Theft;DINWIDDIE;Contents;;;;2026-05-27 4:45:00;3320;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-105;Theft;TABLEVIEW;Vehicle;FORD;ECOSPORT 1.5TiVCT AMBIENTE A/T-2020-;2020;2026-05-26 19:00:27;2000;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-106;Theft;LENASIA EXT 2;Vehicle;VOLKSWAGEN;POLO 1.0 TSI LIFE-2021-;2022;2026-05-26 18:40:00;106424,86;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-107;Theft;SALT RIVER;Contents;;;;2026-05-26 18:33:00;8110;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-108;Theft;LINDEN;Vehicle;TOYOTA;ETIOS 1.5 Xs/SPRINT 5Dr-2012-2022;2012;2026-05-26 15:26:00;83625,06;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-109;Theft;DASSIERAND;Contents;;;;2026-05-26 7:00:00;40827;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-110;Hijack;KIBLER PARK;Vehicle;HYUNDAI;I20 1.2 PREMIUM-2024-;2025;2026-05-25 18:30:00;262000;Motor Vehicle - Theft;Hijack;FALSE;FALSE;FALSE
INC-111;Theft;COWIES HILL;Contents;;;;2026-05-25 4:05:00;7400;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-112;Theft;GANDHI'S HILL;Contents;;;;2026-05-24 22:00:00;5440;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-113;Theft;PHOENIX;Contents;;;;2026-05-24 15:30:00;2250;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-114;Theft;UMKOMAAS;Vehicle;NISSAN;NAVARA 2.5DDTI PRO-4X WARRIOR 4X4 A/T D/C P/U-2025-;2025;2026-05-24 7:55:00;919000;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-115;Theft;CHATSWORTH;Contents;;;;2026-05-23 20:55:00;6000;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-116;Theft;CHATSWORTH;Vehicle;VOLKSWAGEN;POLO VIVO 1.4 COMFORTLINE (5DR)-2017-;2022;2026-05-23 20:55:00;212500;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-117;Theft;VORNA VALLEY;Vehicle;VOLKSWAGEN;TIGUAN ALLSPACE 1.4 TSI DSG (110KW)-2022-;2025;2026-05-23 16:00:00;563205,03;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-118;Theft;MONTFORD;Contents;;;;2026-05-23 13:00:00;21749;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-119;Theft;KNYSNA;Contents;;;;2026-05-23 12:00:00;31412,5;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-120;Theft;EMALAHLENI OUTLYING;Vehicle;FORD;RANGER 2.0D BI-TURBO WILDTRAK 4X4 A/T D/C P/U-2022-;2023;2026-05-23 10:01:00;26911,8;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-121;Theft;RONDEBOSCH;Vehicle;VOLKSWAGEN;GOLF VII 1.2 TSI TRENDLINE-2013-2015;2014;2026-05-23 10:00:00;7748,5;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-122;Theft;RONDEBOSCH;Vehicle;FORD;EVEREST 2.2 TDCi  XLT A/T-2016-2020;2017;2026-05-23 10:00:00;7852,67;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-123;Theft;MUIZENBERG;Vehicle;TOYOTA;HILUX 3.0 D-4D LEGEND 45 4X4 P/U S/C-2014-2016;2016;2026-05-23 8:48:00;294200;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-124;Theft;WIERDA VALLEY;Contents;;;;2026-05-23 0:00:00;14649;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-125;Theft;SOSHANGUVE-P;Vehicle;ISUZU;KB 250D-TEQ HO HI RIDER P/U E/CAB-2015-2017;2016;2026-05-22 15:57:00;5642,92;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-126;Theft;RONDEBOSCH;Vehicle;VOLKSWAGEN;AMAROK 2.0 BiTDi HIGHLINE 132KW A/T D/C P/U-2014-2020;2017;2026-05-22 15:00:00;6520;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-127;Theft;OBSERVATORY;Vehicle;VOLKSWAGEN;POLO 1.4 TRENDLINE-2005-2010;2008;2026-05-22 14:31:00;8945,88;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-128;Theft;PARKTOWN;Contents;;;;2026-05-22 14:00:00;30000;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-129;Theft;FAERIE GLEN;Vehicle;NISSAN;NAVARA 2.5DDTI LE/LE PLUS 4X4 A/T D/C P/U-2021-;2021;2026-05-22 12:59:00;451200;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-130;Theft;SOMERSET WEST;Contents;;;;2026-05-21 19:05:00;1210;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-131;Theft;SOMERSET WEST;Vehicle;SUZUKI;IGNIS 1.2 GLX A/T-2017-;2024;2026-05-21 19:05:00;5484,9;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-132;Theft;LOCHNERHOF;Contents;;;;2026-05-21 16:06:00;8499;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-133;Burglary;FREEWAY PARK;Contents;;;;2026-05-21 14:46:00;91827,89;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-134;Theft;MENLO PARK;Contents;;;;2026-05-21 14:30:00;10249;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-135;Theft;MUIZENBERG;Contents;;;;2026-05-21 12:51:00;2799;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-136;Theft;DURBANVILLE;Vehicle;TOYOTA;COROLLA CROSS 1.8 XS-2021-;2024;2026-05-20 21:40:00;367161,03;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-137;Theft;GRASSY PARK;Vehicle;TOYOTA;HILUX 4.0 V6 RAIDER 4X4 A/T P/U D/C-2008-2011;2010;2026-05-20 21:00:00;4550,39;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-138;Theft;BENDOR;Vehicle;VOLKSWAGEN;GOLF VII GTi 2.0 TSI DSG-2013-2017;2013;2026-05-20 15:30:00;3935,34;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-139;Theft;RANDPARKRIF;Vehicle;TOYOTA;PRADO VX-R 2.8GD A/T-2024-;2025;2026-05-20 15:10:00;1481882,5;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-140;Theft;ONRUSTRIVIER;Vehicle;LAND ROVER;88 SWB-1976-1978;1976;2026-05-20 14:22:00;150000;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-141;Theft;DURBAN;Vehicle;TOYOTA;ETIOS 1.5 Xs/SPRINT-2012-2022;2013;2026-05-20 7:00:00;48898,63;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-142;Burglary;PAROW NORTH;Contents;;;;2026-05-20 4:00:00;24394;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-143;Theft;CRAIGHALL PARK;Contents;;;;2026-05-20 2:47:00;64344;Home contents - Theft;Theft;FALSE;FALSE;FALSE
INC-144;Theft;BERGVLIET;Vehicle;TOYOTA;COROLLA CROSS 1.8 XS-2025-;2025;2026-05-20 1:46:00;1750;Motor Vehicle - Theft;Theft;FALSE;FALSE;FALSE
INC-145;Theft;RICHVIEW;Contents;;;;2026-05-19 22:38:00;6000;Home contents - Theft;Theft;FALSE;FALSE;FALSE
